platform,genre,number_players,rating,positive_critics,neutral_critics,negative_critics,positive_users,neutral_users,negative_users,metascore,user_score,Media_usuario,Media_meta
0,28,35,5,3,16,3,0,3,0,60,67,69.51773049645391,71.83333333333333
1,45,35,6,3,8,1,2,0,1,60,72,67.4431554524362,71.97679814385151
1,14,35,6,1,8,1,2,0,1,60,65,65.53086419753086,70.22222222222223
0,28,0,1,4,2,2,1,1,0,60,60,69.51773049645391,71.83333333333333
1,43,11,5,3,7,3,42,6,19,60,71,63.71052631578947,68.73684210526316
0,2,35,2,4,16,5,5,3,0,60,71,66.5807150595883,71.39869989165764
1,28,35,6,1,6,1,6,2,5,59,52,69.51773049645391,71.83333333333333
0,14,35,1,1,9,5,2,1,0,59,64,65.53086419753086,70.22222222222223
1,38,35,2,0,7,3,1,4,0,59,66,70.26510067114094,73.19127516778524
1,14,35,6,1,7,1,3,4,1,59,60,65.53086419753086,70.22222222222223
0,2,35,2,4,43,8,5,4,2,58,62,66.5807150595883,71.39869989165764
0,44,35,2,1,7,3,0,0,0,58,35,59.140969162995596,72.21585903083701
0,2,0,2,2,11,3,6,8,5,58,57,66.5807150595883,71.39869989165764
1,3,0,5,1,16,2,4,9,4,57,59,67.53865979381443,71.60309278350516
0,2,35,1,2,5,3,2,0,1,56,58,66.5807150595883,71.39869989165764
0,5,35,2,0,6,2,0,0,0,56,52,67.22970297029703,71.65544554455445
1,38,35,3,1,9,2,47,23,64,56,57,70.26510067114094,73.19127516778524
1,45,35,5,3,13,5,2,6,3,56,58,67.4431554524362,71.97679814385151
0,2,1,2,1,26,9,11,8,2,56,69,66.5807150595883,71.39869989165764
1,5,0,5,0,6,1,4,4,0,56,65,67.22970297029703,71.65544554455445
0,2,35,1,8,33,16,2,12,4,55,55,66.5807150595883,71.39869989165764
0,2,0,5,2,6,2,1,0,1,55,42,66.5807150595883,71.39869989165764
0,2,0,1,1,20,5,2,4,0,55,62,66.5807150595883,71.39869989165764
1,43,35,6,1,5,2,0,1,0,55,70,63.71052631578947,68.73684210526316
1,3,35,3,0,5,2,4,0,1,55,57,67.53865979381443,71.60309278350516
1,45,35,4,3,2,5,0,1,1,54,50,67.4431554524362,71.97679814385151
0,2,7,1,2,14,8,13,1,5,54,63,66.5807150595883,71.39869989165764
1,2,0,3,7,24,17,222,89,123,54,58,66.5807150595883,71.39869989165764
1,2,35,6,1,4,3,7,6,5,54,61,66.5807150595883,71.39869989165764
1,5,14,5,2,21,11,23,16,37,54,46,67.22970297029703,71.65544554455445
1,45,35,6,1,6,4,4,2,1,54,74,67.4431554524362,71.97679814385151
0,2,9,1,0,6,5,1,1,0,54,62,66.5807150595883,71.39869989165764
0,28,14,2,2,10,7,0,1,1,53,61,69.51773049645391,71.83333333333333
1,45,35,6,1,27,12,12,5,30,53,41,67.4431554524362,71.97679814385151
0,3,14,5,1,21,10,2,1,2,53,57,67.53865979381443,71.60309278350516
1,5,14,6,0,5,3,0,2,0,52,46,67.22970297029703,71.65544554455445
0,43,14,5,2,15,12,0,0,7,52,31,63.71052631578947,68.73684210526316
1,3,35,3,0,7,1,19,4,2,51,77,67.53865979381443,71.60309278350516
0,28,35,1,1,9,5,0,6,0,51,59,69.51773049645391,71.83333333333333
1,2,35,3,0,6,6,1,6,18,51,34,66.5807150595883,71.39869989165764
0,2,35,5,0,6,3,0,0,1,51,50,66.5807150595883,71.39869989165764
0,2,14,5,0,5,2,2,0,0,50,62,66.5807150595883,71.39869989165764
1,38,35,6,1,12,7,16,11,15,50,59,70.26510067114094,73.19127516778524
